prior,gauge,mask,protocol,n_seeds,dNSE_mean,dNSE_ci95_lo,dNSE_ci95_hi,p_NSE,floodMAE_red_pct_mean,floodMAE_red_pct_ci95_lo,floodMAE_red_pct_ci95_hi,p_floodMAE
amc,01013500,0.0,legacy_n3,3,-0.008438905080159506,-0.025603865589764144,0.008726055429445134,0.16867392306617796,-116.7096823607212,-393.80287766142686,160.38351293998443,0.14608198787618687
amc,01013500,0.0,frozen_n10,10,-0.007438349723815918,-0.01043029444048348,-0.004446405007148357,0.0003241691021316324,-92.59376826425617,-138.76096590128606,-46.426570627226276,0.0002749343794982746
amc,01013500,0.8,legacy_n3,3,-0.01306217908859253,-0.04732756142599357,0.021203203248808512,0.24264702543420213,-56.308415686010854,-132.7257504187571,20.108919046735373,0.08461308236545548
amc,01013500,0.8,frozen_n10,10,-0.0012985408306121827,-0.012966254352863369,0.010369172691639004,0.806878700611761,-33.62985227542761,-57.074313566085195,-10.185390984770024,0.011210449408567611
amc,01013500,1.0,legacy_n3,3,0.01605433225631714,-0.0225272353571198,0.054635899869754076,0.21527594518377366,-19.7848293807714,-84.96221226996252,45.392553508419724,0.3515239720793458
amc,01013500,1.0,frozen_n10,10,0.07175384163856506,0.02669856647749836,0.11680911679963177,0.005724567566697748,24.22802983973076,-2.2425504986502816,50.6986101781118,0.02443657045214782
recession,01466500,0.0,legacy_n3,3,2.4437904357910156e-05,-0.0008898594564218788,0.0009387352651376991,0.9189474777035979,0.21746070457136932,-0.2948588995226429,0.7297803086653816,0.2227351232901427
recession,01466500,0.0,frozen_n10,10,-0.0006918847560882568,-0.0016535072316894556,0.0002697377195129419,0.13804851237433624,-0.09981498841200502,-0.3279018256336085,0.1282718488095984,0.3255828745911479
recession,01466500,0.8,legacy_n3,3,0.0005593299865722656,-0.0025906748857548764,0.0037093348588994077,0.5246948626306415,0.11516834057078813,-0.6997193050388161,0.9300559861803924,0.589194607881242
recession,01466500,0.8,frozen_n10,10,0.0007102549076080322,-0.0004233169857093311,0.0018438268009253957,0.19004643356553694,-0.09506966580642048,-0.3280190690866801,0.1378797374738391,0.4070814704238008
recession,01466500,1.0,legacy_n3,3,0.0002829432487487793,-0.01230618020477325,0.012872066702270809,0.9317799264562834,-0.2985922726463124,-1.740027930045738,1.1428433847531132,0.46153108847824353
recession,01466500,1.0,frozen_n10,10,0.0008334040641784668,-0.0027413348044572168,0.004408142932814151,0.6106732376848003,-0.3155849451429169,-0.6030790142551726,-0.028090876030661183,0.034905456834925706
amc,07067000,0.0,legacy_n3,3,0.0026912689208984375,-0.0031783870896923867,0.008560924931489262,0.18725721937898226,0.6581012399351777,-4.209745538389933,5.525948018260289,0.6192646767552361
amc,07067000,0.0,frozen_n10,10,-0.008514946699142456,-0.022509727092648153,0.0054798336943632404,0.20197674909240207,-0.7272793725709131,-2.486383064984285,1.031824319842459,0.3823085671027054
amc,07067000,0.8,legacy_n3,3,-0.0071424444516499834,-0.036781057233260674,0.02249616832996071,0.4087170302726595,-1.8941581166853634,-10.909912007964929,7.121595774594202,0.4625294714379089
amc,07067000,0.8,frozen_n10,10,-0.006509727239608765,-0.024775691557187916,0.011756237077970388,0.4409087420893132,-1.9436019746651134,-5.798084558443427,1.9108806091132002,0.2880870394918108
amc,07067000,1.0,legacy_n3,3,-0.0019699533780415854,-0.07250513796004039,0.06856523120395723,0.9153339599771152,-3.3335664713537447,-20.54343282814129,13.876299885433802,0.4905304044406523
amc,07067000,1.0,frozen_n10,10,0.012718331813812257,-0.01513299787846218,0.04056966150608669,0.32855566838268313,-0.9861621625827752,-6.313041170061561,4.340716844896011,0.720638474195347
recession,11143000,0.0,legacy_n3,3,-0.0024371941884358725,-0.00675820488924039,0.0018838165123686444,0.1359976018318192,-0.14236447295760243,-6.116018656615329,5.831289710700124,0.9545797921394913
recession,11143000,0.0,frozen_n10,10,-0.0024342358112335203,-0.009935741207171729,0.005067269584704689,0.481591850324332,-1.6920288075576775,-5.526134857731144,2.1420772426157884,0.3600620174610326
recession,11143000,0.8,legacy_n3,3,-0.014042973518371582,-0.04652484330386583,0.018438896267122667,0.2039365228577251,-4.501291326920789,-11.655113054851917,2.652530401010339,0.13204751568979026
recession,11143000,0.8,frozen_n10,10,-0.010138261318206786,-0.033801176167171695,0.013524653530758119,0.35776376576100405,-3.828327053984141,-13.471971727562638,5.815317619594355,0.41036019644672383
recession,11143000,1.0,legacy_n3,3,-0.012419044971466064,-0.041358376652431736,0.016520286709499607,0.20610452244449917,-2.1268744530419483,-5.409453773237801,1.1557048671539043,0.11858848066787439
recession,11143000,1.0,frozen_n10,10,-0.009030616283416748,-0.0364729869597341,0.018411754392900596,0.4756090248599177,-1.503791431475395,-11.154731070105843,8.147148207155052,0.828496238753908
