gauge,regime,frac_snow,provenance,n_seeds,mask,ctrl_NSE_mean,ctrl_NSE_std,phys_NSE_mean,phys_NSE_std,dNSE_mean,dNSE_std,dNSE_ci95_lo,dNSE_ci95_hi,p_NSE,ctrl_floodMAE_mean,ctrl_floodMAE_std,phys_floodMAE_mean,phys_floodMAE_std,floodMAE_red_pct_mean,floodMAE_red_pct_std,floodMAE_red_pct_ci95_lo,floodMAE_red_pct_ci95_hi,p_floodMAE
01013500,mixed rain-snow,0.275,ctrl-carried+amc-fresh,10,0.0,0.9940443754196167,0.0007602094848004992,0.9866060256958008,0.003861256269692948,-0.007438349723815918,0.00418245031493448,-0.01043029444048348,-0.004446405007148357,0.0003241691021316324,327.69114074707034,45.58088508238019,610.5634582519531,131.47954076813852,-92.59376826425617,64.53729215682321,-138.76096590128606,-46.426570627226276,0.0002749343794982746
01013500,mixed rain-snow,0.275,ctrl-carried+amc-fresh,10,0.8,0.9637002348899841,0.010719615712948992,0.9624016940593719,0.008451097641221705,-0.0012985408306121827,0.01631033883208175,-0.012966254352863369,0.010369172691639004,0.806878700611761,761.8009460449218,153.36144222606436,982.7851013183594,136.29498693620212,-33.62985227542761,32.77309703028015,-57.074313566085195,-10.185390984770024,0.011210449408567611
01013500,mixed rain-snow,0.275,ctrl-carried+amc-fresh,10,1.0,0.8684398353099823,0.05476090767668579,0.9401936769485474,0.012890033571172153,0.07175384163856506,0.06298293171564674,0.02669856647749836,0.11680911679963177,0.005724567566697748,1785.4209838867187,728.0696267981369,1131.428369140625,131.15496546612167,24.22802983973076,37.00331976590514,-2.2425504986502816,50.6986101781118,0.02443657045214782
01466500,groundwater/baseflow,0.055,ctrl-carried+recession-fresh,10,0.0,0.7796702563762665,0.015439161450467805,0.7789783716201782,0.01663468574275758,-0.0006918847560882568,0.00134425552835948,-0.0016535072316894556,0.0002697377195129419,0.13804851237433624,1.5554652094841004,0.10856461358043329,1.5571098446846008,0.11024508780349755,-0.09981498841200502,0.31884341273271616,-0.3279018256336085,0.1282718488095984,0.3255828745911479
01466500,groundwater/baseflow,0.055,ctrl-carried+recession-fresh,10,0.8,0.6360160350799561,0.022029268484181387,0.6367262899875641,0.020824705292546757,0.0007102549076080322,0.0015846242398110698,-0.0004233169857093311,0.0018438268009253957,0.19004643356553694,2.1699350118637084,0.07803556437075013,2.1718987703323362,0.07519162581936144,-0.09506966580642048,0.3256408113711736,-0.3280190690866801,0.1378797374738391,0.4070814704238008
01466500,groundwater/baseflow,0.055,ctrl-carried+recession-fresh,10,1.0,0.34789466857910156,0.04219390180124338,0.34872807264328004,0.04121348921234671,0.0008334040641784668,0.004997140362802728,-0.0027413348044572168,0.004408142932814151,0.6106732376848003,2.9214791297912597,0.1880689090353424,2.9307828903198243,0.1904976342565269,-0.3155849451429169,0.40188899654523674,-0.6030790142551726,-0.028090876030661183,0.034905456834925706
07067000,humid rain,0.043,ctrl-carried+amc-fresh,10,0.0,0.7462174654006958,0.0035654533152953485,0.7377025187015533,0.018691802352179182,-0.008514946699142456,0.01956335400790776,-0.022509727092648153,0.0054798336943632404,0.20197674909240207,2832.650927734375,47.30047506734425,2852.5931884765623,53.72319553738546,-0.7272793725709131,2.459057398804939,-2.486383064984285,1.031824319842459,0.3823085671027054
07067000,humid rain,0.043,ctrl-carried+amc-fresh,10,0.8,0.6074019849300385,0.015270710213532657,0.6008922576904296,0.02722834934843691,-0.006509727239608765,0.025534057426613008,-0.024775691557187916,0.011756237077970388,0.4409087420893132,3395.162744140625,173.60678435853515,3460.8706787109377,252.79749491407222,-1.9436019746651134,5.388195111569075,-5.798084558443427,1.9108806091132002,0.2880870394918108
07067000,humid rain,0.043,ctrl-carried+amc-fresh,10,1.0,0.5089995086193084,0.02533024730492997,0.5217178404331207,0.0368865997436367,0.012718331813812257,0.03893347426971868,-0.01513299787846218,0.04056966150608669,0.32855566838268313,3843.4658447265624,258.6608961521932,3877.4847412109375,345.5005924238339,-0.9861621625827752,7.446463384945963,-6.313041170061561,4.340716844896011,0.720638474195347
11143000,Mediterranean,0.01,ctrl-carried+recession-fresh,10,0.0,0.8120366156101226,0.0124918463596604,0.8096023797988892,0.01509400545141041,-0.0024342358112335203,0.010486381459838498,-0.009935741207171729,0.005067269584704689,0.481591850324332,263.27784118652346,11.086187092917227,267.6487319946289,16.67532386898374,-1.6920288075576775,5.359710681720454,-5.526134857731144,2.1420772426157884,0.3600620174610326
11143000,Mediterranean,0.01,ctrl-carried+recession-fresh,10,0.8,0.6932673871517181,0.01811150420313642,0.6831291258335114,0.03754869980251638,-0.010138261318206786,0.033078474047659887,-0.033801176167171695,0.013524653530758119,0.35776376576100405,370.50294799804686,25.531197028034295,383.91069946289065,49.26690562016987,-3.828327053984141,13.480885685297295,-13.471971727562638,5.815317619594355,0.41036019644672383
11143000,Mediterranean,0.01,ctrl-carried+recession-fresh,10,1.0,0.5607821226119996,0.05874440792427829,0.5517515063285827,0.059618550701420005,-0.009030616283416748,0.038361788985710445,-0.0364729869597341,0.018411754392900596,0.4756090248599177,487.85471496582034,81.6674381428978,492.2168304443359,86.67627796357067,-1.503791431475395,13.491083343265037,-11.154731070105843,8.147148207155052,0.828496238753908
