gauge,n_seeds,paired_p_NSE,dNSE_mean
09352900,2,0.31689841730378576,0.17713475227355957
09352900,3,0.13155264125451288,0.15155611435572305
09352900,4,0.042865154331334844,0.14725220203399658
09352900,5,0.013455499088484446,0.14320138692855836
09352900,6,0.004629133383629333,0.13747042417526245
09352900,7,0.0011549198260478715,0.1387431366103036
09352900,8,0.0010919197140168246,0.1269695982336998
09352900,9,0.0002924854787767959,0.12830551465352377
09352900,10,9.020938816118737e-05,0.13598117232322693
09210500,2,0.20370421112498577,0.12709972262382507
09210500,3,0.12109930055387559,0.09827184677124023
09210500,4,0.06830691252266403,0.14127464592456818
09210500,5,0.020712603299257937,0.14664171934127807
09210500,6,0.014626168679215045,0.13110830386479697
09210500,7,0.004890495999798521,0.13138629708971297
09210500,8,0.013822452745929331,0.11013616621494293
09210500,9,0.0051022270025235595,0.11555678314632839
09210500,10,0.0024158828469245776,0.11325356364250183
11266500,2,0.2032325445441359,0.3665245771408081
11266500,3,0.04123392070332032,0.4199627836545308
11266500,4,0.01714193917420664,0.373462051153183
11266500,5,0.013966170285257339,0.3243536829948425
11266500,6,0.008127839842291061,0.2956099808216095
11266500,7,0.003136803977741601,0.2847010919025966
11266500,8,0.00083392254036596,0.29219426214694977
11266500,9,0.00024359311880385958,0.2895248797204759
11266500,10,5.9197573236087405e-05,0.297413969039917
07067000,2,0.32827164706206663,-0.0016271471977233887
07067000,3,0.10884523107392118,-0.0015128056208292644
07067000,4,0.11553092241058376,-0.001154884696006775
07067000,5,0.0486635875139957,-0.0011420488357543946
07067000,6,0.1754289606349212,-0.000778059164683024
07067000,7,0.09443645551191374,-0.0008346268108912877
07067000,8,0.044421975304217286,-0.0010955706238746643
07067000,9,0.027496938142157454,-0.001065936353471544
07067000,10,0.011657849765491135,-0.0011463642120361328
